Earlier	RBR	earlier
oftrying	VVG	oftrying
to	TO	to
"	``	"
normalize	VV	normalize
"	''	"
his	PP$	his
rampant	JJ	rampant
double-dealing	NN	double-dealing
.	SENT	.
Our	PP$	our
highest-ranking	JJ	highest-ranking
diplomatshould	NN	diplomatshould
n't	RB	n't
be	VB	be
reduced	VVN	reduce
to	TO	to
being	VBG	be
a	DT	a
bag	NN	bag
man	NN	man
.	SENT	.
