When	WRB	when
populous	JJ	populous
state	NN	state
in	IN	in
the	DT	the
union	NN	union
,	,	,
and	CC	and
its	PP$	its
55	CD	@card@
electoral	JJ	electoral
votesare	NP	votesare
the	DT	the
most	JJS	most
in	IN	in
the	DT	the
country	NN	country
.	SENT	.
Clinton	NP	Clinton
received	VVD	receive
millions	NNS	million
more	JJR	more
votes	NNS	vote
than	IN	than
Trump	NP	Trump
here	RB	here
,	,	,
so	IN	so
Busby	NP	Busby
and	CC	and
her	PP$	her
54Democratic	JJ	54Democratic
colleagues	NNS	colleague
will	MD	will
meet	VV	meet
in	IN	in
the	DT	the
state	NN	state
Capitol	NN	Capitol
building	NN	building
at	IN	at
2	CD	2
p.	NN	page
m.	NN	m.
on	IN	on
Dec.19	NP	Dec.19
to	TO	to
cast	VV	cast
their	PP$	their
formal	JJ	formal
ballots	NNS	ballot
for	IN	for
Clinton	NP	Clinton
and	CC	and
vice	JJ	vice
presidential	JJ	presidential
nominee	NN	nominee
TimKaine	NP	TimKaine
.	SENT	.
They	PP	they
will	MD	will
be	VB	be
alone	RB	alone
.	SENT	.
The	DT	the
winner	NN	winner
of	IN	of
California	NP	California
's	POS	's
popular	JJ	popular
vote	NN	vote
gets	VVZ	get
the	DT	the
state'sentire	NN	state'sentire
slate	NN	slate
of	IN	of
electoral	JJ	electoral
votes	NNS	vote
;	:	;
only	RB	only
Democratic	JJ	Democratic
electors	NNS	elector
will	MD	will
gather	VV	gather
to	TO	to
makethe	JJ	makethe
state	NN	state
's	POS	's
selection	NN	selection
of	IN	of
Clinton	NP	Clinton
official	NN	official
.	SENT	.
As	IN	as
efforts	NNS	effort
heat	NN	heat
up	RP	up
to	TO	to
get	VV	get
electors	NNS	elector
in	IN	in
swing	NN	swing
states	NNS	state
to	TO	to
select	VV	select
Clinton	NP	Clinton
instead	RB	instead
ofTrump	NN	ofTrump
,	,	,
California	NP	California
electors	NNS	elector
are	VBP	be
unlikely	JJ	unlikely
to	TO	to
be	VB	be
lobbied	VVN	lobby
.	SENT	.
"	''	"
Under	IN	under
California	NP	California
law	NN	law
,	,	,
electors	NNS	elector
are	VBP	be
n't	RB	n't
bound	VVN	bind
to	TO	to
a	DT	a
candidate	NN	candidate
,	,	,
but	CC	but
all	DT	all
ourelectors	NNS	ourelectors
have	VHP	have
said	VVN	say
they	PP	they
are	VBP	be
voting	VVG	vote
for	IN	for
Hillary	NP	Hillary
Clinton	NP	Clinton
,	,	,
"	``	"
state	NN	state
Democratic	JJ	Democratic
Partyspokesman	NP	Partyspokesman
Michael	NP	Michael
Soller	NP	Soller
said	VVD	say
.	SENT	.
Not	RB	not
all	PDT	all
the	DT	the
Democratic	JJ	Democratic
electors	NNS	elector
are	VBP	be
party	NN	party
officials	NNS	official
like	IN	like
Busby	NP	Busby
.	SENT	.
Each	DT	each
politicalparty	NN	politicalparty
in	IN	in
California	NP	California
chooses	VVZ	choose
its	PP$	its
electors	NNS	elector
differently	RB	differently
.	SENT	.
Democrats	NPS	Democrats
give	VVP	give
the	DT	the
party	NN	party
's	POS	's
top	JJ	top
finisher	NN	finisher
in	IN	in
the	DT	the
congressional	JJ	congressional
primary	NN	primary
in	IN	in
each	DT	each
ofthe	NN	ofthe
state	NN	state
's	POS	's
53	CD	@card@
House	NP	House
districts	NNS	district
the	DT	the
choice	NN	choice
of	IN	of
who	WP	who
will	MD	will
be	VB	be
that	DT	that
district'selector	NN	district'selector
.	SENT	.
So	IN	so
Douglas	NP	Douglas
Applegate	NP	Applegate
,	,	,
who	WP	who
trails	VVZ	trail
GOP	NP	GOP
Rep.	NP	Rep.
Darrell	NP	Darrell
Issa	NP	Issa
in	IN	in
a	DT	a
still-tightcongressional	JJ	still-tightcongressional
race	NN	race
in	IN	in
north	JJ	north
San	NP	San
Diego	NP	Diego
County	NP	County
,	,	,
selected	VVN	select
Busby	NP	Busby
.	SENT	.
U.	NP	U.
S.	NP	S.
Sen.	NP	Sen.
-elect	NN	-elect
Kamala	NP	Kamala
Harris	NP	Harris
and	CC	and
Sen.	NP	Sen.
Dianne	NP	Dianne
Feinstein	NP	Feinstein
chose	VVD	choose
the	DT	the
final	JJ	final
twoelectors	NNS	twoelectors
.	SENT	.
The	DT	the
Democrats	NPS	Democrats
'	POS	'
list	NN	list
is	VBZ	be
made	VVN	make
up	RP	up
of	IN	of
elected	VVN	elect
officials	NNS	official
,	,	,
relatives	NNS	relative
of	IN	of
electedofficials	NNS	electedofficials
and	CC	and
other	JJ	other
party	NN	party
advocates	NNS	advocate
.	SENT	.
Among	IN	among
the	DT	the
electors	NNS	elector
are	VBP	be
Janine	NP	Janine
Bera	NP	Bera
,	,	,
the	DT	the
wife	NN	wife
of	IN	of
Rep.	NP	Rep.
Ami	NP	Ami
Bera	NP	Bera
of	IN	of
Elk	NP	Elk
Grove	NP	Grove
;	:	;
Christine	NP	Christine
Pelosi	NP	Pelosi
,	,	,
the	DT	the
daughter	NN	daughter
of	IN	of
House	NP	House
Minority	NP	Minority
Leader	NP	Leader
Nancy	NP	Nancy
Pelosi	NP	Pelosi
andchairwoman	NN	andchairwoman
of	IN	of
the	DT	the
state	NN	state
party	NN	party
's	POS	's
women	NNS	woman
's	POS	's
caucus	NN	caucus
;	:	;
Eileen	NP	Eileen
Feinstein	NP	Feinstein
Mariano	NP	Mariano
,	,	,
granddaughter	NN	granddaughter
of	IN	of
Sen.	NP	Sen.
Dianne	NP	Dianne
Feinstein	NP	Feinstein
;	:	;
and	CC	and
Olivia	NP	Olivia
Reyes-Becerra	NP	Reyes-Becerra
,	,	,
daughter	NN	daughter
ofRep	NNS	ofRep
.	SENT	.
Xavier	NP	Xavier
Becerra	NP	Becerra
of	IN	of
Los	NP	Los
Angeles	NP	Angeles
.	SENT	.
State	NP	State
Assemblywomen	NP	Assemblywomen
Susan	NP	Susan
Eggman	NP	Eggman
of	IN	of
Stockton	NP	Stockton
and	CC	and
Shirley	NP	Shirley
Weber	NP	Weber
of	IN	of
San	NP	San
Diego	NP	Diego
,	,	,
former	JJ	former
state	NN	state
Sen.	NP	Sen.
Christine	NP	Christine
Kehoe	NP	Kehoe
of	IN	of
San	NP	San
Diego	NP	Diego
,	,	,
Los	NP	Los
Angeles	NP	Angeles
City	NP	City
CouncilwomanNury	NP	CouncilwomanNury
Martinez	NP	Martinez
and	CC	and
Laphonza	NP	Laphonza
Butler	NP	Butler
,	,	,
president	NN	president
of	IN	of
the	DT	the
Service	NP	Service
EmployeesInternational	NP	EmployeesInternational
Union	NP	Union
chapter	NN	chapter
that	WDT	that
represents	VVZ	represent
home	NN	home
care	NN	care
employees	NNS	employee
,	,	,
also	RB	also
are	VBP	be
on	IN	on
thelist	NN	thelist
.	SENT	.
Though	IN	though
the	DT	the
state	NN	state
's	POS	's
other	JJ	other
political	JJ	political
parties	NNS	party
are	VBP	be
left	VVN	leave
out	RP	out
of	IN	of
the	DT	the
electoralcollege	NN	electoralcollege
,	,	,
they	PP	they
came	VVD	come
up	RP	up
with	IN	with
rosters	NNS	roster
of	IN	of
their	PP$	their
own	JJ	own
.	SENT	.
The	DT	the
state	NN	state
GOP	NP	GOP
automaticallyselects	VVZ	automaticallyselects
previous	JJ	previous
party	NN	party
nominees	NNS	nominee
for	IN	for
state	NN	state
offices	NNS	office
with	IN	with
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
choicesmade	NN	choicesmade
by	IN	by
the	DT	the
party	NN	party
's	POS	's
chairman	NN	chairman
.	SENT	.
Current	JJ	current
state	NN	state
Republican	NP	Republican
Party	NP	Party
Chairman	NP	Chairman
Jim	NP	Jim
Brulte	NP	Brulte
said	VVD	say
he	PP	he
called	VVD	call
Tim	NP	Tim
Clark	NP	Clark
,	,	,
wholed	VVD	wholed
Trump	NP	Trump
's	POS	's
campaign	NN	campaign
in	IN	in
California	NP	California
,	,	,
to	TO	to
ask	VV	ask
him	PP	him
to	TO	to
fill	VV	fill
out	RP	out
the	DT	the
list	NN	list
.	SENT	.
Well-knownnames	NNS	Well-knownnames
are	VBP	be
on	IN	on
that	DT	that
party	NN	party
's	POS	's
slate	NN	slate
,	,	,
too	RB	too
,	,	,
including	VVG	include
state	NN	state
Sens.	NP	Sens.
Joel	NP	Joel
Anderson	NP	Anderson
of	IN	of
SanDiego	NP	SanDiego
and	CC	and
Jean	NP	Jean
Fuller	NP	Fuller
of	IN	of
Bakersfield	NP	Bakersfield
,	,	,
former	JJ	former
Rep.	NP	Rep.
Doug	NP	Doug
Ose	NP	Ose
of	IN	of
Elk	NP	Elk
Grove	NP	Grove
,	,	,
stateBoard	NN	stateBoard
of	IN	of
Equalization	NP	Equalization
member	NN	member
Diane	NP	Diane
Harkey	NP	Harkey
and	CC	and
Republican	NP	Republican
National	NP	National
CommitteemanShawn	NP	CommitteemanShawn
Steel	NP	Steel
.	SENT	.
Harmeet	NP	Harmeet
Dhillon	NP	Dhillon
,	,	,
a	DT	a
state	NN	state
party	NN	party
official	NN	official
who	WP	who
delivered	VVD	deliver
a	DT	a
Sikh	JJ	Sikh
prayer	NN	prayer
at	IN	at
theRepublican	NP	theRepublican
National	NP	National
Convention	NP	Convention
,	,	,
also	RB	also
was	VBD	be
an	DT	an
elector	NN	elector
.	SENT	.
Brulte	NP	Brulte
,	,	,
who	WP	who
is	VBZ	be
a	DT	a
GOP	NP	GOP
elector	NN	elector
himself	PP	himself
,	,	,
said	VVD	say
he	PP	he
did	VVD	do
n't	RB	n't
mind	VV	mind
working	VVG	work
to	TO	to
pick	VV	pick
anelectoral	JJ	anelectoral
college	NN	college
slate	NN	slate
even	RB	even
though	IN	though
the	DT	the
party	NN	party
's	POS	's
list	NN	list
does	VVZ	do
n't	RB	n't
matter	VV	matter
.	SENT	.
"	``	"
I	PP	I
would	MD	would
have	VH	have
much	RB	much
rather	RB	rather
had	VHD	have
Donald	NP	Donald
Trump	NP	Trump
be	VB	be
elected	VVN	elect
president	NN	president
and	CC	and
me	PP	me
not	RB	not
getto	JJ	getto
vote	NN	vote
in	IN	in
the	DT	the
electoral	JJ	electoral
college	NN	college
than	IN	than
me	PP	me
getting	VVG	get
to	TO	to
vote	VV	vote
in	IN	in
electoral	JJ	electoral
collegeand	NN	collegeand
Hillary	NP	Hillary
Clinton	NP	Clinton
be	VB	be
elected	VVN	elect
president	NN	president
,	,	,
"	''	"
Brulte	NP	Brulte
said	VVD	say
.	SENT	.
Third	JJ	third
parties	NNS	party
have	VHP	have
their	PP$	their
own	JJ	own
rules	NNS	rule
.	SENT	.
The	DT	the
list	NN	list
for	IN	for
the	DT	the
American	NP	American
Independent	NP	Independent
Partyin	NP	Partyin
California	NP	California
,	,	,
which	WDT	which
also	RB	also
nominated	VVD	nominate
Trump	NP	Trump
for	IN	for
president	NN	president
,	,	,
includes	VVZ	include
former	JJ	former
GOPReps	NNS	GOPReps
.	SENT	.
Virgil	NP	Virgil
Goode	NP	Goode
,	,	,
Bob	NP	Bob
Dornan	NP	Dornan
and	CC	and
John	NP	John
LeBoutillier	NP	LeBoutillier
--	:	--
all	DT	all
of	IN	of
whom	WP	whom
do	VVP	do
n't	RB	n't
livein	NP	livein
California	NP	California
.	SENT	.
--	:	--
liam	NP	Liam
.	SENT	.
dillon@latimes	NNS	dillon@latimes
.	SENT	.
com	NN	com
